,MAE + SVM,MAE + XGBoost,MAE Fine-tuned,PCA + SVM,Raw + 1D-CNN,Raw + BiLSTM,SAE + SVM,SAE Fine-tuned
MAE + SVM,1.0,3.754141096001339e-05,0.5682537583503838,6.026989006653542e-21,0.05309927705217837,0.24566392427134628,0.17933512255683373,1.0
MAE + XGBoost,3.754141096001339e-05,1.0,8.947143865812832e-06,2.6737811653281462e-05,1.0384693425011648e-07,1.750595361460301e-06,0.9825366835326603,5.660536003324873e-05
MAE Fine-tuned,0.5682537583503838,8.947143865812832e-06,1.0,5.617150269126504e-14,1.0,1.0,0.0027508743347517796,1.0
PCA + SVM,6.026989006653542e-21,2.6737811653281462e-05,5.617150269126504e-14,1.0,7.380467073897235e-17,4.787323094874184e-15,6.768056978616767e-11,9.625273810352653e-13
Raw + 1D-CNN,0.05309927705217837,1.0384693425011648e-07,1.0,7.380467073897235e-17,1.0,1.0,8.031480370993592e-05,1.0
Raw + BiLSTM,0.24566392427134628,1.750595361460301e-06,1.0,4.787323094874184e-15,1.0,1.0,0.0007647843400588096,1.0
SAE + SVM,0.17933512255683373,0.9825366835326603,0.0027508743347517796,6.768056978616767e-11,8.031480370993592e-05,0.0007647843400588096,1.0,0.01143525164162322
SAE Fine-tuned,1.0,5.660536003324873e-05,1.0,9.625273810352653e-13,1.0,1.0,0.01143525164162322,1.0
